16,"Austria","at"
22,"Australia","au"
27,"United Kingdom","gb"
28,"United Kingdom","gb"
32,"United States","us"
35,"United States","us"
38,"United States","us"
56,"Canada","ca"
60,"Canada","ca"
62,"United States","us"
68,"Norway","no"
72,"Iceland","is"
74,"Canada","ca"
78,"Russia","ru"
81,"United Kingdom","gb"
87,"Japan","jp"
88,"Japan","jp"
91,"United Kingdom","gb"
95,"Japan","jp"
97,"United States","us"
99,"United States","us"
101,"United States","us"
103,"Canada","ca"
105,"Canada","ca"
107,"United States","us"
109,"China","cn"
115,"United Kingdom","gb"
124,"United Kingdom","gb"
138,"United Kingdom","gb"
142,"Japan","jp"
143,"Japan","jp"
145,"Canada","ca"
155,"United States","us"
161,"United States","us"
163,"Norway","no"
170,"United States","us"
199,"Russia","ru"
209,"Switzerland","ch"
209,"Switzerland","ch"
214,"Italy","it"
215,"Spain","es"
215,"Spain","es"
238,"Germany","de"
248,"United States","us"
264,"United Kingdom","gb"
279,"Thailand","th"
283,"United States","us"
287,"United States","us"
215,"Spain","es"
214,"Italy","it"
214,"United States","us"
214,"Italy","it"
214,"United States","us"
211,"United Kingdom","gb"
324,"United States","us"
331,"Norway","no"
338,"United States","us"
342,"United Kingdom","gb"
342,"United Kingdom","gb"
342,"United Kingdom","gb"
346,"United States","us"
350,"Japan","jp"
354,"Japan","jp"
354,"Japan","jp"
357,"United States","us"
361,"United States","us"
369,"France","fr"
372,"United Kingdom","gb"
386,"United States","us"
387,"United States","us"
392,"United States","us"
396,"United Kingdom","gb"
402,"Japan","jp"
410,"Netherlands","nl"
415,"United States","us"
420,"United States","us"
420,"United States","us"
431,"United Kingdom","gb"
452,"United States","us"
460,"United States","us"
467,"United States","us"
468,"United States","us"
471,"United States","us"
491,"United Kingdom","gb"
496,"United Kingdom","gb"
499,"United States","us"
506,"Ireland","ie"
511,"United States","us"
205,"United States","us"
17,"United States","us"
17,"Germany","de"
188,"Israel","il"
189,"Israel","il"
191,"Israel","il"
175,"Australia","au"
182,"Germany","de"
181,"Czech Republic","cz"
177,"Germany","de"
532,"United States","us"
569,"Slovakia","sk"
572,"United States","us"
575,"France","fr"
590,"United States","us"
590,"Austria","at"
593,"Denmark","dk"
596,"Japan","jp"
599,"Argentina","ar"
605,"Norway","no"
606,"Norway","no"
610,"Russia","ru"
614,"China","cn"
618,"France","fr"
623,"United States","us"
624,"United States","us"
631,"United States","us"
637,"United States","us"
640,"United States","us"
652,"United Kingdom","gb"
652,"Canada","ca"
662,"United States","us"
671,"France","fr"
672,"United States","us"
680,"United States","us"
683,"United Kingdom","gb"
695,"United States","us"
701,"United States","us"
728,"United States","us"
741,"Norway","no"
749,"Japan","jp"
753,"United States","us"
756,"United Kingdom","gb"
765,"United States","us"
806,"United States","us"
816,"Norway","no"
818,"Ireland","ie"
818,"Ireland","ie"
830,"New Zealand","nz"
838,"United States","us"
843,"United States","us"
845,"Poland","pl"
854,"United Kingdom","gb"
866,"Lebanon","lb"
866,"Lebanon","lb"
868,"United States","us"
879,"China","cn"
889,"France","fr"
890,"Poland","pl"
891,"Finland","fi"
892,"Germany","de"
895,"Austria","at"
897,"Ukraine","ua"
899,"China","cn"
901,"United States","us"
901,"Netherlands","nl"
903,"Finland","fi"
905,"Austria","at"
905,"Serbia","rs"
905,"Germany","de"
905,"Austria","at"
905,"Serbia","rs"
905,"Germany","de"
906,"United Kingdom","gb"
909,"Canada","ca"
911,"United States","us"
911,"Japan","jp"
915,"Sweden","se"
929,"United States","us"
933,"United States","us"
937,"United Kingdom","gb"
941,"United States","us"
969,"South Africa","za"
973,"United States","us"
989,"Iran","ir"
990,"Austria","at"
993,"United States","us"
996,"United States","us"
1015,"United States","us"
1023,"Spain","es"
1025,"United States","us"
1029,"Norway","no"
1032,"United States","us"
1034,"Germany","de"
1036,"Denmark","dk"
1038,"United States","us"
1040,"United Kingdom","gb"
1040,"United Kingdom","gb"
1042,"United States","us"
1045,"Canada","ca"
1046,"South Korea","kr"
1047,"South Korea","kr"
1048,"South Korea","kr"
1051,"Germany","de"
1054,"China","cn"
1055,"China","cn"
1056,"China","cn"
1057,"China","cn"
1061,"Cuba","cu"
178,"France","fr"
1069,"China","cn"
1070,"China","cn"
1071,"China","cn"
1074,"Turkey","tr"
1080,"United Kingdom","gb"
1087,"Australia","au"
1100,"United States","us"
1108,"United States","us"
1117,"Japan","jp"
1123,"United States","us"
1126,"United Kingdom","gb"
1140,"Norway","no"
1145,"United States","us"
1158,"Japan","jp"
1158,"Japan","jp"
1158,"Argentina","ar"
